,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Total Expected Number of Deaths
129,2260482558.0541644,1.5485893119953604,9844847.423578978,0.009378961182269907,1125579612.8971806,1.925216709361564,0.0,0.0,16840283.332500108,0.014346688350950213,0.0,0.0,3.4975316708901447
130,2291642105.0133233,1.5753214861837106,0.0,0.0,1498208760.192934,2.525907413566754,0.0,0.0,0.0,0.0,0.0,0.0,4.101228899750464
131,2874619461.7814364,1.5283591760539412,12923370.094700254,0.009790410997729926,1792699075.1056983,2.4065873027306828,23129061.59642269,0.006371138587504771,0.0,0.0,0.0,0.0,3.9511080283698585
132,865782656.1026425,0.6427684747302532,0.0,0.0,1514351807.5874825,2.7857487977686537,0.0,0.0,0.0,0.0,0.0,0.0,3.428517272498907
133,183934041.456666,0.11026646966361177,16516738.80777884,0.013384100953984096,1928896825.1067624,2.772774437429713,0.0,0.0,0.0,0.0,0.0,0.0,2.896425008047309
134,173200988.34553915,0.1145370352291852,53186150.54522827,0.046825575638434286,1777765927.674155,2.8150999072735106,0.0,0.0,23875229.18266793,0.01817193281476985,0.0,0.0,2.9946344509559
135,1956512044.0551047,1.573420863790942,0.0,0.0,471812150.4030568,0.944790796608212,0.0,0.0,0.0,0.0,0.0,0.0,2.518211660399154
136,1815778883.2130191,1.5485893119953604,0.0,0.0,62199310.53503376,0.13072362220317305,0.0,0.0,0.0,0.0,0.0,0.0,1.6793129341985336
137,139347920.9668132,0.11673611825841115,24221671.11939665,0.026878677036262684,1425647761.8430753,2.869017431009232,0.0,0.0,0.0,0.0,0.0,0.0,3.012632226303906
138,161565605.35443375,0.11153870312983703,84393749.09338227,0.07720332152989327,1689942224.6366465,2.8014045370998986,23363426.847245656,0.00654916633349994,0.0,0.0,0.0,0.0,2.996695728093129
139,3181527831.6365194,1.5711100359214931,0.0,0.0,1527083456.5901651,1.8422834384217543,0.0,0.0,0.0,0.0,0.0,0.0,3.4133934743432475
140,2130858853.372381,1.5731662651732994,0.0,0.0,1425073615.1622994,2.6126609713833138,0.0,0.0,0.0,0.0,0.0,0.0,4.185827236556613
141,2081012490.2733781,1.5272436751486214,0.0,0.0,1050753139.9269092,1.9337836399067203,0.0,0.0,0.0,0.0,0.0,0.0,3.4610273150553414
142,366520736.5968812,0.2992970828993352,0.0,0.0,1407140847.7474244,2.8125342839232923,0.0,0.0,0.0,0.0,0.0,0.0,3.1118313668226274
143,720398670.5198691,0.6291554451650176,0.0,0.0,1268224831.6195314,2.7395706128408683,0.0,0.0,0.0,0.0,0.0,0.0,3.368726058005886
144,2411860145.075036,1.5708047362726911,0.0,0.0,429426544.36183536,0.6830727564593635,0.0,0.0,0.0,0.0,0.0,0.0,2.2538774927320544
145,411929261.34790033,0.3366405260498278,0.0,0.0,1423717286.325059,2.8626694568057216,0.0,0.0,0.0,0.0,0.0,0.0,3.1993099828555494
146,2400276643.6125827,1.424440665435578,0.0,0.0,1821035776.3658261,2.712067511433503,0.0,0.0,0.0,0.0,0.0,0.0,4.13650817686908
147,2597192479.212048,1.5283565529340577,0.0,0.0,324738464.6154641,0.4726413028064373,0.0,0.0,0.0,0.0,0.0,0.0,2.000997855740495
148,156148514.88727075,0.11665311405396958,79109390.87922314,0.07825809868636388,1603266012.6132956,2.8819451395123035,0.0,0.0,0.0,0.0,0.0,0.0,3.076856352252637
149,2216947154.7735248,1.545760899942619,0.0,0.0,342009621.86932415,0.5841214739491675,0.0,0.0,0.0,0.0,0.0,0.0,2.1298823738917863
150,1977642191.6211965,1.5461521323294762,0.0,0.0,67011125.12822813,0.12824877724039854,0.0,0.0,0.0,0.0,0.0,0.0,1.6744009095698749
151,2074126279.6217575,1.5209011752592216,0.0,0.0,1283632117.4294515,2.3640444467189967,0.0,0.0,0.0,0.0,0.0,0.0,3.8849456219782184
152,1599977672.528069,1.5684121518599126,0.0,0.0,1050752010.8380164,2.5298651436255892,0.0,0.0,0.0,0.0,0.0,0.0,4.098277295485502
